game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-04-17,1792.9011194029852,,2513.6982543640897,,1584.0,2414.8034682080925,2332.640673736744,1421.3125,2570.3263888888887,,,2105.2640692640693,2481.424320827943
2021-04-18,1861.6666666666667,,2461.8838951310863,,,2448.991825613079,2316.2203513909226,1472.8958333333333,2573.467105263158,,,2172.96,2475.9804741980474
2021-04-19,1830.1574074074074,2156.6,2524.496644295302,1039.2857142857142,1929.969696969697,2363.589552238806,2292.2574568288856,1592.8196721311476,2501.7368421052633,1845.0833333333333,,2121.0886426592797,2422.7518987341773
2021-04-20,1773.2882703777336,1794.5,2589.503512880562,,1323.0,2396.708609271523,2292.8663532572195,1397.8333333333333,2440.95,,,2136.8016,2418.67107001321
2021-04-21,1733.3094777562862,,2465.884984025559,,1446.875,2319.484496124031,2285.9647735442127,1557.2926829268292,2332.173076923077,,,2133.8103683492495,2392.79523141655
2021-04-22,1754.4175257731958,,2580.2479338842977,,,2503.546875,2300.1733477789817,1635.9444444444443,2715.5652173913045,,,2153.626404494382,2437.9298969072165
2021-04-23,1826.5768421052633,2097.0,2579.4102564102564,,1637.5833333333333,2401.2459546925566,2340.681288553804,1283.2340425531916,2493.5526315789475,,,2130.689504373178,2506.8721351025333
2021-04-24,1743.9436893203883,,2453.845744680851,,1597.8095238095239,2323.8350785340313,2304.963917525773,1451.639175257732,2666.5666666666666,,,2135.0845839017734,2440.7087378640776
2021-04-25,1824.2307692307693,,2554.4368070953437,,,2365.7441860465115,2316.8339201877934,1401.5616438356165,2572.330275229358,,,2168.5835820895522,2470.768484848485
2021-04-26,1700.7333333333333,2695.75,2690.3013333333333,,1696.111111111111,2583.669950738916,2325.7468581687613,1551.6382978723404,2386.3050847457625,,,2156.938596491228,2485.3846153846152
2021-04-27,1758.4357005758156,,2517.819892473118,,,2431.172661870504,2321.875659382065,1552.7241379310344,2843.509433962264,,,2181.470930232558,2445.5114613180517
2021-04-28,1854.8023809523809,2653.0,2571.0676470588237,,1681.7674418604652,2331.0470588235294,2317.157335223246,1541.107142857143,2449.605504587156,,,2125.802575107296,2476.2689352360044
2021-04-29,1716.8695652173913,,2534.2258064516127,,,2379.454954954955,2324.557279236277,1277.6666666666667,2543.557142857143,,,2153.059829059829,2440.626506024096
2021-04-30,1835.8158844765344,2274.6666666666665,2475.737003058104,,,2407.5446985446983,2313.430711610487,1496.855072463768,2630.8153846153846,,,2191.8843338213765,2488.942611190818
2021-05-01,1813.083511777302,,2632.224924012158,,1492.3125,2356.1456692913384,2337.364677516576,1307.1090909090908,2610.093023255814,,,2148.856957087126,2433.260180995475
2021-05-02,1708.8348968105065,2789.0,2605.5051813471505,,,2451.858407079646,2329.307029177719,1504.7272727272727,2574.029411764706,,,2162.336349924585,2474.381548974943
2021-05-03,1845.9336283185842,2261.0,2491.123966942149,,,2403.623853211009,2336.998511904762,1500.5243902439024,2371.7,,,2152.548076923077,2490.461716937355
2021-05-04,1801.3055555555557,2487.0,2578.0478589420654,1341.0,1856.25,2504.5384615384614,2337.7223634053366,1630.677966101695,2571.891156462585,,,2152.0518617021276,2470.3625541125543
2021-05-05,1805.2964509394571,,2515.62641509434,,,2368.526932084309,2305.065,1490.0428571428572,2484.293577981651,,,2211.114619883041,2487.133474576271
2021-05-06,1835.8434343434344,,2482.8327402135233,,,2369.074349442379,2315.036723163842,1686.3,2733.860465116279,,,2203.181347150259,2464.4836223506745
2021-05-07,1713.814332247557,2738.3333333333335,2552.847222222222,,,2319.5458015267177,2285.953094462541,1419.75,2584.6344086021504,,,2103.9312865497077,2369.1057810578104
