,level_0,index,game_date,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate
,,,,FA,CH,FT,CU,SI,FS,FC
18,18,18,2015-04-23,1981.0,1706.292105263158,2167.9340206185566,2245.2127659574467,2061.8245614035086,1594.6324786324785,2263.848039215686
19,19,19,2015-04-24,,1695.4957983193278,2153.9173728813557,2271.9540229885056,2056.3394077448747,1646.275,2091.878787878788
20,20,20,2015-04-25,,1769.3517915309446,2101.686468646865,2207.1973094170403,2068.2114427860697,1494.3030303030303,2124.904958677686
21,21,21,2015-04-26,,1747.8891257995735,2109.4111776447107,2349.278481012658,2147.0372340425533,1450.2727272727273,2150.0717488789237
22,22,22,2015-04-27,,1765.5588235294117,2153.6052141527002,2284.9581395348837,1985.578034682081,1524.672131147541,2231.0059523809523
23,23,23,2015-04-28,,1717.1090146750523,2130.177570093458,2279.223140495868,2067.463503649635,1339.3690476190477,2257.0678733031673
24,24,24,2015-04-29,,1653.9489559164733,2121.029304029304,2285.137026239067,2058.990506329114,1559.1041666666667,2094.7441860465115
25,25,25,2015-04-30,,1799.9903846153845,2121.962365591398,2291.938775510204,2054.6612903225805,1171.5,2238.856209150327
26,26,26,2015-05-01,,1712.7835294117647,2146.737789203085,2229.996212121212,2109.8947368421054,1207.2,2142.1290322580644
27,27,27,2015-05-02,,1711.158031088083,2130.1323529411766,2454.5333333333333,2085.5418604651163,1446.15625,2165.09126984127
28,28,28,2015-05-03,,1672.0065934065933,2123.6495726495727,2243.1720430107525,2067.8,1465.7457627118645,2261.8263157894735
29,29,29,2015-05-04,2103.0,1654.5836575875487,2150.6486486486488,2268.7135416666665,2064.1243093922653,1327.8529411764705,2201.5
30,30,30,2015-05-05,,1728.2416666666666,2130.445833333333,2318.4539249146756,2100.4682274247493,1554.4,2204.1132075471696
31,31,31,2015-05-06,,1720.6973415132925,2095.709055876686,2230.9442379182155,2078.3494505494505,1524.5820895522388,2084.1702127659573
32,32,32,2015-05-07,,1672.762645914397,2117.294117647059,2259.8237704918033,2110.040380047506,1483.2941176470588,2116.93359375
33,33,33,2015-05-08,,1712.4198645598194,2152.0567765567766,2332.342857142857,1983.847619047619,994.027027027027,2187.8039215686276
34,34,34,2015-05-09,,1672.3702770780856,2125.4189852700492,2170.3474903474903,2079.465934065934,1490.4411764705883,2114.114285714286
35,35,35,2015-05-10,,1709.8684863523574,2150.8863636363635,2331.4896551724137,2043.1933842239187,1465.0689655172414,2191.0607476635514
36,36,36,2015-05-11,,1727.7905405405406,2128.5742574257424,2255.59217877095,2144.638376383764,1506.6097560975609,2066.7423312883434
37,37,37,2015-05-12,2243.0,1722.7841726618706,2134.0218446601943,2349.8503401360545,2079.911547911548,1400.1379310344828,2260.5679442508713
38,38,38,2015-05-13,,1735.08407079646,2166.033088235294,2279.3785488958993,2067.840101522843,1477.4444444444443,2242.555
39,39,39,2015-05-14,,1607.894117647059,2125.5116883116884,2245.289156626506,2037.2819672131147,1319.304347826087,2186.3841463414633
40,40,40,2015-05-15,,1656.161214953271,2087.9028831562973,2438.4367816091954,2064.36690647482,1415.2549019607843,2245.722222222222
41,41,41,2015-05-16,,1677.6084210526317,2168.717391304348,2332.965156794425,2014.439330543933,1534.9204545454545,2169.698347107438
42,42,42,2015-05-17,,1696.021028037383,2095.394495412844,2402.421296296296,2155.952290076336,1573.5,2241.8527397260273
43,43,43,2015-05-18,,1785.560606060606,2155.8313725490198,2291.903846153846,2068.089285714286,1672.1904761904761,2203.478947368421
44,44,44,2015-05-19,,1729.0849315068492,2174.465579710145,2327.6542372881354,2086.3295880149813,1466.590909090909,2212.2011494252874
45,45,45,2015-05-20,,1648.2669584245077,2088.4607843137255,2332.9172413793103,1998.6278195488721,1206.5070422535211,2249.669724770642
46,46,46,2015-05-21,,1642.2426229508196,2127.7363344051446,2255.953703703704,2076.5835694050993,1535.7619047619048,2178.5259515570933
47,47,47,2015-05-22,,1704.3897959183673,2132.482269503546,2244.4452296819786,2062.7017543859647,1534.978021978022,2222.64161849711
48,48,48,2015-05-23,,1820.1059322033898,2141.002525252525,2274.8368794326243,2066.6192893401017,1043.6153846153845,2125.952
49,49,49,2015-05-24,,1605.8259860788862,2175.9547101449275,2336.530201342282,2132.0403022670025,1498.9464285714287,2173.723163841808
50,50,50,2015-05-25,,1698.255707762557,2053.2206119162643,2234.800675675676,2038.1793372319687,1252.25,2206.0089285714284
51,51,51,2015-05-26,,1719.8810020876826,2127.3411016949153,2295.518771331058,2040.2237623762376,1006.3181818181819,2235.8446601941746
52,52,52,2015-05-27,,1705.6581395348837,2189.0143266475643,2207.343537414966,2021.8457711442786,1276.4193548387098,2160.7451523545706
53,53,53,2015-05-28,,1832.5131086142321,2214.8875,2222.5703703703703,2073.4276729559747,1085.9615384615386,1974.6379310344828
54,54,54,2015-05-29,,1647.6625,2110.2697768762678,2366.9741697416976,2164.723880597015,1542.0,2208.8371040723982
55,55,55,2015-05-30,,1584.8917050691243,2154.067105263158,2294.764705882353,2086.324324324324,1331.3333333333333,2268.0448717948716
56,56,56,2015-05-31,,1683.6484962406016,2118.998511904762,2235.419491525424,2057.598901098901,1259.9333333333334,2250.9009433962265
57,57,57,2015-06-01,,1698.298611111111,2124.8658536585367,2331.342105263158,2045.8286852589642,1578.2962962962963,2202.2136752136753
58,58,58,2015-06-02,,1779.0994475138123,2176.3232876712327,2347.088888888889,2054.4673267326734,1353.7132867132866,2184.0835820895522
59,59,59,2015-06-03,,1730.591836734694,2157.587982832618,2360.7436823104695,2131.6875,1512.4556962025317,2169.441964285714
60,60,60,2015-06-04,,1704.3225806451612,2124.935281837161,2414.7214611872146,2139.4791666666665,1585.6,2230.296
61,61,61,2015-06-05,2240.0,1606.7784810126582,2101.419811320755,2272.3504273504273,2078.594684385382,1517.7142857142858,2223.478787878788
62,62,62,2015-06-06,,1732.3356807511736,2137.7096069868994,2361.881040892193,2080.943298969072,1502.7317073170732,2274.794326241135
63,63,63,2015-06-07,,1794.0979899497488,2130.884375,2240.065306122449,2026.951276102088,1189.8333333333333,2179.369318181818
64,64,64,2015-06-08,,1820.7074829931973,2170.748322147651,2304.224358974359,2142.4,1438.5,2192.502512562814
65,65,65,2015-06-09,,1675.012285012285,2149.259911894273,2378.236434108527,2081.4459930313587,1514.979381443299,2198.7824267782426
66,66,66,2015-06-10,1404.0,1649.1296703296703,2102.9489603024576,2391.0898203592815,2094.1227154046996,1596.290909090909,2217.7087912087914
67,67,67,2015-06-11,,1577.7794117647059,2094.8727272727274,2268.0184049079753,2108.6064814814813,1692.1363636363637,2248.5112359550562
68,68,68,2015-06-12,,1736.208984375,2138.2967741935486,2405.852071005917,2072.866125760649,1286.6341463414635,2280.0904977375567
69,69,69,2015-06-13,,1740.2534562211981,2149.109144542773,2265.856540084388,2032.5729613733906,1419.8620689655172,2200.0491803278687
70,70,70,2015-06-14,,1731.9933035714287,2152.2791519434627,2303.6593406593406,2079.0423728813557,1517.5875,2229.293893129771
71,71,71,2015-06-15,,1659.3376288659795,2143.061657032755,2286.3106796116504,2091.5104895104896,1522.4375,2240.5978260869565
72,72,72,2015-06-16,,1677.2803347280335,2093.5581395348836,2312.7545454545457,2110.441011235955,1836.0434782608695,2215.6844919786095
73,73,73,2015-06-17,,1745.8600746268658,2114.6470588235293,2309.461956521739,2062.24358974359,1412.4074074074074,2238.9115044247787
74,74,74,2015-06-18,,1696.6363636363637,2146.393736017897,2187.082125603865,2031.7487046632125,1412.0285714285715,2124.0
75,75,75,2015-06-19,,1815.2751091703058,2232.0149253731342,2325.2700964630226,2059.908023483366,1439.549019607843,2166.075221238938
76,76,76,2015-06-20,,1660.1700680272108,2105.0981697171383,2339.422053231939,2086.7877358490564,1524.9565217391305,2257.3492063492063
77,77,77,2015-06-21,,1709.0309523809524,2144.346153846154,2339.201201201201,2128.7696793002915,1637.0125,2237.429411764706
78,78,78,2015-06-22,,1719.6024590163934,2123.4489795918366,2289.103448275862,2081.8338658146963,1095.0,2188.6783216783215
79,79,79,2015-06-23,,1728.236559139785,2141.9064935064935,2353.594890510949,2020.670168067227,1118.457627118644,2244.775
80,80,80,2015-06-24,,1804.092843326886,2164.227799227799,2369.6976744186045,2132.702637889688,1633.4193548387098,2210.0375939849623
81,81,81,2015-06-25,,1738.4448529411766,2118.871739130435,2233.8611111111113,2101.270114942529,1461.3333333333333,2189.146788990826
82,82,82,2015-06-26,1895.6666666666667,1562.052995391705,2150.309954751131,2245.74375,2105.298013245033,1479.8157894736842,2167.5949367088606
83,83,83,2015-06-27,,1701.9358974358975,2113.053672316384,2364.844827586207,2143.655172413793,1516.3478260869565,2217.676300578035
84,84,84,2015-06-28,,1763.0056179775281,2157.375886524823,2366.354922279793,2071.3113964687,1412.4776119402984,2251.589928057554
85,85,85,2015-06-29,,1718.0372093023257,2183.877659574468,2452.3866666666668,2055.613065326633,1218.8125,2247.3840579710145
86,86,86,2015-06-30,,1807.0861678004535,2149.657627118644,2320.4285714285716,2140.845070422535,1562.1758241758241,2167.055970149254
87,87,87,2015-07-01,,1663.1564102564103,2113.1175337186896,2221.0,2100.5104895104896,1455.9139784946237,2162.301418439716
88,88,88,2015-07-02,,1703.2464114832535,2175.75,2307.0472727272727,2166.5348837209303,1410.1818181818182,2230.883116883117
89,89,89,2015-07-03,,1660.3075,2109.018058690745,2308.386440677966,2131.120786516854,1616.8181818181818,2317.0106382978724
90,90,90,2015-07-04,,1753.1045751633987,2179.8444444444444,2307.632183908046,2046.2642998027613,1204.9411764705883,2278.1173708920187
91,91,91,2015-07-05,,1776.0241228070176,2179.377729257642,2373.258953168044,2082.4772036474164,1531.4915254237287,2081.732558139535
92,92,92,2015-07-06,,1761.3355704697988,2104.9307692307693,2160.566929133858,2071.415343915344,1613.3508771929824,2186.0670391061453
93,93,93,2015-07-07,,1673.803680981595,2130.3920704845814,2263.390476190476,2134.031890660592,1558.0594059405942,2237.0689655172414
94,94,94,2015-07-08,,1605.2860635696823,2095.193939393939,2324.8975155279504,2120.435185185185,1568.0344827586207,2216.7426900584796
95,95,95,2015-07-09,,1687.530944625407,2192.805,2335.5960264900664,2010.0481927710844,1251.1,2207.4105263157894
96,96,96,2015-07-10,,1802.0545454545454,2157.673366834171,2414.036723163842,2127.1824644549765,1755.888888888889,2185.070351758794
97,97,97,2015-07-11,,1802.007371007371,2194.136842105263,2365.7073170731705,2110.3418079096045,1507.3361344537816,2125.2987012987014
98,98,98,2015-07-12,,1739.3202764976959,2095.568085106383,2326.9453125,2185.8564705882354,1465.9032258064517,2258.8493723849374
99,99,99,2015-07-17,,1768.1684210526316,2131.08185840708,2279.141342756184,2104.1552631578948,1491.5647058823529,2227.038338658147
100,100,100,2015-07-18,,1644.5779376498801,2175.236220472441,2294.125523012552,2103.156862745098,1544.421052631579,2247.3216783216785
101,101,101,2015-07-19,,1761.2618510158013,2164.8622047244094,2286.4548611111113,2077.542857142857,1452.4,2220.6638655462184
102,102,102,2015-07-20,,1795.006600660066,2138.24011299435,2293.748691099476,2119.7266009852215,1477.8936170212767,2229.9803921568628
103,103,103,2015-07-21,,1656.0,2088.9142259414225,2269.1187050359713,2051.095063985375,1459.5901639344263,2104.431924882629
104,104,104,2015-07-22,,1705.4468503937007,2131.2538167938933,2304.8493975903616,2072.5508684863526,1502.4791666666667,2238.0375426621163
105,105,105,2015-07-23,,1770.8861788617887,2165.618556701031,2333.425414364641,2026.141791044776,1468.4880952380952,2307.5081967213114
106,106,106,2015-07-24,,1703.2475961538462,2172.006896551724,2347.088803088803,2086.6430446194227,1718.4814814814815,2143.725490196078
107,107,107,2015-07-25,,1775.8298850574713,2181.7528604118993,2372.594029850746,2096.5808656036447,1591.127659574468,2163.5890410958905
108,108,108,2015-07-26,,1667.7539149888144,2099.0597014925374,2318.263492063492,2125.9452631578947,1623.7529411764706,2097.215189873418
109,109,109,2015-07-27,,1704.537037037037,2140.4,2277.6953642384105,2131.597345132743,1590.0581395348838,2163.792857142857
110,110,110,2015-07-28,,1779.949860724234,2115.126530612245,2348.4050991501417,2089.0217917675545,1504.8522727272727,2258.5748792270533
111,111,111,2015-07-29,,1661.0848484848484,2148.4704641350213,2324.682119205298,2045.2727272727273,1471.6666666666667,2277.8563218390805
112,112,112,2015-07-30,,1730.0140515222483,2160.128735632184,2216.0445344129553,2099.2351351351354,1687.4883720930231,2204.6714285714284
113,113,113,2015-07-31,,1746.308584686775,2172.4767184035477,2332.919028340081,2069.9248554913293,1615.142857142857,2254.2
114,114,114,2015-08-01,,1788.965092402464,2109.96,2366.762987012987,2154.418552036199,1593.676923076923,2150.907216494845
115,115,115,2015-08-02,,1652.75,2114.941923774955,2325.2864583333335,2066.4985250737464,1516.1509433962265,2307.0058139534885
116,116,116,2015-08-03,,1746.644927536232,2153.222570532915,2284.9508928571427,2045.890510948905,1348.5,2324.8611111111113
117,117,117,2015-08-04,,1721.3013435700575,2162.1423487544484,2314.344827586207,2104.75625,1475.8666666666666,2185.3196721311474
118,118,118,2015-08-05,,1752.9719438877755,2153.9580152671756,2237.4741379310344,2105.120879120879,1544.3734939759036,2206.578125
119,119,119,2015-08-06,,1743.9235294117648,2111.167123287671,2290.955223880597,2082.192073170732,1627.3666666666666,2194.0
120,120,120,2015-08-07,,1739.2068965517242,2169.750692520776,2237.7625,2143.253863134658,1447.6896551724137,2231.530054644809
121,121,121,2015-08-08,,1759.7161862527716,2142.0,2342.7585139318885,2063.7523364485983,1544.8651685393259,2248.768965517241
122,122,122,2015-08-09,,1735.2096385542168,2114.635563380282,2330.0299727520437,2095.920716112532,1618.0625,2233.823943661972
123,123,123,2015-08-10,,1772.5098039215686,2119.611320754717,2441.90625,2106.164835164835,2141.5,2217.546875
124,124,124,2015-08-11,,1699.4044943820224,2148.6533665835414,2280.074358974359,2071.0597014925374,1495.1754385964912,2290.076530612245
125,125,125,2015-08-12,,1734.289592760181,2092.711743772242,2298.294964028777,2098.0752688172042,1396.2121212121212,2162.9464285714284
126,126,126,2015-08-13,,1684.2197802197802,2157.95020746888,2264.5359712230215,2110.97311827957,1501.2820512820513,2294.3488372093025
127,127,127,2015-08-14,,1785.7682619647355,2124.7697740112994,2299.110687022901,2122.245901639344,1549.7894736842106,2186.132867132867
128,128,128,2015-08-15,,1714.524064171123,2137.3527204502816,2452.3081395348836,2090.3432835820895,1681.0294117647059,2285.4261603375526
129,129,129,2015-08-16,,1777.2081545064377,2194.2727272727275,2335.506097560976,2098.141975308642,1149.6666666666667,2238.9928315412185
130,130,130,2015-08-17,,1620.5434782608695,2132.9380530973453,2194.6008064516127,2117.896551724138,1417.923076923077,2123.78640776699
131,131,131,2015-08-18,,1737.4303482587065,2148.322222222222,2239.638977635783,2104.082089552239,1473.6666666666667,2233.4435146443516
132,132,132,2015-08-19,,1738.6545842217483,2121.5177777777776,2335.2179487179487,2151.389558232932,1410.927536231884,2113.3241379310343
133,133,133,2015-08-20,,1714.9649681528663,2157.45020746888,2371.4846625766872,2149.949074074074,1637.9298245614036,2284.753488372093
134,134,134,2015-08-21,,1777.7586837294332,2144.314479638009,2341.2972972972975,2079.409090909091,1583.7454545454545,2246.5486111111113
135,135,135,2015-08-22,,1697.9288537549407,2107.352,2371.596958174905,2107.2590233545648,1899.375,2246.992156862745
136,136,136,2015-08-23,,1745.0680100755667,2163.0950118764845,2248.776435045317,2098.774358974359,1351.8472222222222,2289.772972972973
