,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
45,anderson,chase,502624,2060.2385,2089.3738,29.135275,0.012484423,0.014121084,0.00163666,0.013302753,2074.8062
46,anderson,cody,594736,1785.0444,1810.4875,25.443087,0.008417613,0.009531912,0.0011142996,0.008974763,1797.766
47,anderson,drew,623454,2250.6033,2312.526,61.92251,0.0151661,0.016946498,0.0017803984,0.0160563,2281.5645
48,anderson,ian,666120,2366.6,2403.207,36.60702,0.0686825,0.09389624,0.025213737,0.081289366,2384.9036
49,anderson,justin,605121,1848.1006,1876.1973,28.096687,0.009279399,0.010657474,0.0013780749,0.009968436,1862.1489
50,anderson,nick,623433,2090.3115,2127.4856,37.174088,0.015927915,0.018191358,0.0022634435,0.017059637,2108.8984
51,anderson,shaun,641312,2102.5,2165.2288,62.728775,0.014748846,0.01662848,0.0018796334,0.015688663,2133.8645
52,anderson,tanner,664196,2232.5374,2272.4893,39.951942,0.07383418,0.10057041,0.02673623,0.087202296,2252.5134
53,anderson,tyler,542881,2195.1633,2219.6929,24.529348,0.013088347,0.014742442,0.0016540948,0.013915395,2207.4282
54,andriese,matt,542882,2159.716,2216.8154,57.099323,0.013107853,0.014835811,0.0017279581,0.013971832,2188.2656
55,antolin,dustin,542884,2123.4548,2161.2903,37.83558,0.08012841,0.108085535,0.02795713,0.09410697,2142.3726
56,antone,tejay,622088,2237.5427,2261.1108,23.568138,0.06370652,0.091364264,0.027657753,0.07753539,2249.327
57,aoki,nori,493114,2125.3074,2167.3176,42.010258,0.05882797,0.080934554,0.022106584,0.06988126,2146.3125
58,aquino,jayson,593969,2210.9136,2249.1187,38.205116,0.031496793,0.04990024,0.018403446,0.040698517,2230.016
59,arano,victor,644364,2195.9697,2250.3452,54.3755,0.06367513,0.088717714,0.025042586,0.076196425,2223.1575
60,araujo,elvis,542587,2374.364,2420.5332,46.169277,0.013904342,0.0155100515,0.0016057084,0.014707197,2397.4487
61,araujo,pedro,606478,1547.6086,1594.9469,47.338284,0.008508924,0.0097717075,0.0012627827,0.009140316,1571.2778
62,archer,chris,502042,1936.4894,1977.4867,40.997276,0.059174523,0.082609974,0.02343545,0.07089225,1956.988
63,arcia,francisco,516472,2075.731,2116.591,40.860073,0.012019457,0.013606813,0.0015873548,0.012813135,2096.1611
64,arcia,orlando,606115,2157.9814,2196.3064,38.32483,0.017999066,0.02386251,0.0058634453,0.020930788,2177.1438
65,arihara,kohei,685503,1875.6974,1908.886,33.188656,0.012317557,0.013841815,0.0015242582,0.013079686,1892.2916
66,armenteros,rogelio,660494,1908.6929,1938.4363,29.74343,0.016674157,0.018563386,0.0018892293,0.017618772,1923.5646
67,armstrong,shawn,542888,1948.5182,2004.8362,56.317997,0.015752407,0.01742422,0.0016718138,0.016588314,1976.6772
68,aro,jonathan,608167,2177.399,2212.1172,34.71813,0.019312968,0.02265167,0.0033387006,0.02098232,2194.758
69,arrieta,jake,453562,2329.2576,2354.7239,25.466515,0.013750173,0.015541961,0.0017917886,0.014646067,2341.9907
70,arroyo,bronson,276520,2198.2761,2223.842,25.566044,0.0152248,0.02496592,0.009741118,0.02009536,2211.059
71,arroyo,christian,624414,2104.2683,2153.1663,48.898083,0.014473893,0.016236993,0.0017630986,0.015355443,2128.7173
72,arteaga,humberto,600858,2370.769,2417.206,46.437088,0.076225795,0.10290786,0.026682068,0.08956683,2393.9875
73,ashby,aaron,676879,1979.885,2005.5815,25.696465,0.06365256,0.08780161,0.024149045,0.07572709,1992.7333
74,asher,alec,594742,1753.294,1776.3983,23.104376,0.007430491,0.008451711,0.0010212203,0.007941102,1764.8462
75,astin,barrett,592120,2193.8147,2206.9949,13.180291,0.010175781,0.0115870945,0.0014113132,0.010881438,2200.4048
76,astudillo,willians,553902,1988.3467,2030.3676,42.020756,0.07497509,0.10131209,0.02633701,0.088143595,2009.357
77,atchison,scott,425786,1846.4779,1897.3744,50.89644,0.015259059,0.017324807,0.0020657473,0.016291933,1871.9261
78,aumont,phillippe,518418,2318.4036,2343.6716,25.268099,0.05211354,0.073961034,0.021847498,0.06303729,2331.0376
79,avila,alex,488671,1868.2396,1881.2604,13.020726,0.00837871,0.009685473,0.0013067633,0.009032091,1874.75
80,avila,pedro,658648,2108.4639,2152.014,43.55011,0.07331433,0.10008161,0.026767278,0.08669797,2130.2388
81,avilan,luis,501593,1881.0116,1899.355,18.343307,0.054023672,0.07599943,0.021975758,0.06501155,1890.1833
82,axelrod,dylan,518420,1842.8699,1892.1436,49.27368,0.0167832,0.019043269,0.0022600675,0.017913235,1867.5067
83,axford,john,446099,2327.5312,2347.251,19.719578,0.011533888,0.013027582,0.0014936943,0.012280735,2337.391
84,aybar,erick,430947,2030.975,2063.9048,32.929813,0.06574117,0.09108848,0.025347317,0.07841482,2047.44
85,bacus,dakota,621290,2117.868,2140.031,22.163046,0.015658187,0.018307857,0.0026496688,0.016983023,2128.9495
86,badenhop,burke,488674,2146.115,2185.1118,38.996727,0.012449016,0.014100091,0.0016510753,0.013274553,2165.6135
87,báez,michel,673258,2554.3464,2581.9824,27.636045,0.075586215,0.10328185,0.027695633,0.089434035,2568.1643
88,baez,pedro,520980,2062.347,2097.1826,34.83568,0.012861571,0.014525143,0.0016635727,0.013693357,2079.7646
89,baez,sandy,622783,2010.1124,2039.6755,29.563112,0.057342373,0.08193838,0.024596006,0.069640376,2024.894
90,bailey,andrew,457732,1537.3417,1566.776,29.434393,0.0068413126,0.0077755977,0.00093428534,0.007308455,1552.0588
91,bailey,brandon,669064,1793.9174,1843.016,49.098694,0.0069502513,0.007896922,0.0009466702,0.007423586,1818.4667
92,bailey,homer,456701,1998.0367,2050.9055,52.868793,0.073954076,0.10125913,0.027305054,0.0876066,2024.4711
93,baker,scott,435044,2182.6016,2222.0933,39.491745,0.06576587,0.09030202,0.02453615,0.07803395,2202.3474
94,balester,collin,444446,2300.8452,2343.5117,42.66644,0.068109795,0.09031298,0.022203187,0.07921139,2322.1785
95,balfour,grant,346797,2149.2773,2187.838,38.56054,0.011286558,0.012893134,0.0016065765,0.012089846,2168.5576
96,banda,anthony,607455,2089.4097,2133.114,43.70435,0.07103738,0.096132204,0.025094824,0.08358479,2111.262
97,banuelos,manny,544365,1928.0267,1958.8398,30.813162,0.05147306,0.076622866,0.025149807,0.06404796,1943.4332
98,baragar,caleb,670056,2119.831,2148.2217,28.390697,0.009678354,0.010956417,0.0012780632,0.010317385,2134.0264
99,barbato,johnny,592127,2078.4614,2108.8997,30.4382,0.011684735,0.013112955,0.0014282195,0.012398845,2093.6807
100,bard,daniel,453268,2211.9812,2229.9646,17.983307,0.008023347,0.009303895,0.0012805475,0.008663621,2220.973
101,bard,luke,572703,1996.146,2033.6859,37.53998,0.013705426,0.015426372,0.0017209469,0.014565899,2014.9159
102,barlow,joe,669618,2049.7478,2086.7214,36.973774,0.08921253,0.110674515,0.021461988,0.099943526,2068.2346
103,barlow,scott,605130,2087.1423,2147.0723,59.929752,0.011024374,0.012596631,0.0015722582,0.011810503,2117.1074
104,barnes,charlie,656212,1980.4546,2021.027,40.572388,0.011482337,0.012792118,0.001309781,0.012137227,2000.7407
105,barnes,danny,592130,2287.7463,2312.3674,24.62112,0.08084264,0.110812366,0.02996973,0.095827505,2300.057
106,barnes,jacob,606930,2212.2217,2237.8542,25.632423,0.014369669,0.016032744,0.001663075,0.015201207,2225.038
107,barnes,matt,598264,1950.4131,1957.3011,6.888129,0.013559681,0.0148898205,0.0013301385,0.014224751,1953.8572
108,barnette,tony,501817,2123.5999,2135.0667,11.466746,0.010082889,0.011461884,0.0013789942,0.010772387,2129.3333
109,barney,darwin,446381,1905.8025,1939.3809,33.578323,0.013410723,0.015364667,0.0019539446,0.014387695,1922.5917
110,barraclough,kyle,607457,2065.597,2098.0625,32.46578,0.013678531,0.015765263,0.0020867311,0.0147218965,2081.8296
111,barrett,aaron,502578,2101.4338,2131.8542,30.420225,0.014181174,0.016162245,0.0019810703,0.0151717095,2116.644
112,barrett,jake,545332,1617.3584,1633.4987,16.14028,0.009381415,0.010728652,0.0013472365,0.0100550335,1625.4286
113,barria,jaime,642545,1979.7964,2015.2521,35.45563,0.015499135,0.020593936,0.0050948006,0.018046536,1997.5243
114,barrios,yhonathan,553872,2083.0115,2125.1401,42.12866,0.011478724,0.013641568,0.0021628446,0.012560146,2104.0757
115,bashlor,tyler,641341,2239.7024,2268.489,28.786598,0.06517916,0.09094791,0.025768746,0.07806354,2254.0957
116,bass,anthony,542914,2209.1294,2237.2002,28.070822,0.013888757,0.015893552,0.002004795,0.014891155,2223.1648
117,bassitt,chris,605135,1541.8762,1556.6571,14.780847,0.010430348,0.011858474,0.0014281267,0.011144411,1549.2667
118,bastardo,antonio,455374,2041.9094,2085.9226,44.01308,0.06731819,0.090647526,0.023329329,0.07898286,2063.916
119,bauer,trevor,545333,2172.8147,2206.7751,33.96032,0.012809691,0.014371003,0.0015613113,0.013590347,2189.795
120,baumann,buddy,571473,2143.7075,2178.6086,34.900948,0.022034265,0.028008863,0.0059745996,0.025021564,2161.1582
121,bautista,gerson,639373,2314.013,2341.4744,27.461405,0.014278699,0.016079318,0.0018006187,0.015179008,2327.7437
