game_date,CH,CS,CU,EP,FA,FC,FF,FO,FS,FT,KC,KN,SI,SL
2019-04-11,1803.3986013986014,,2512.5173913043477,,,2338.4065934065934,2251.4623015873017,,1521.8529411764705,2193.451923076923,2224.828828828829,,2120.275747508306,2360.003466204506
2019-04-12,1758.7262180974478,,2480.758208955224,,,2341.8097014925374,2300.0781818181817,,1253.4883720930231,2207.779527559055,2611.774647887324,,2170.609120521173,2443.7892234548335
2019-04-13,1885.9490445859872,,2584.559659090909,,,2375.9221311475408,2301.581777445855,,1385.463157894737,2229.581993569132,2422.1463414634145,,2133.6070175438595,2404.4856630824374
2019-04-14,1767.8882978723404,,2499.6631205673757,2286.0,,2387.139442231076,2313.858181818182,,1462.1538461538462,2191.324786324786,2573.3867924528304,,2134.268907563025,2447.069857697283
2019-04-15,1803.2019867549668,2255.6666666666665,2435.6015037593984,,,2363.08,2278.577212806026,,1297.6078431372548,2166.0213675213677,2606.92,,2176.0,2441.7675675675678
2019-04-16,1818.6025,,2531.0526315789475,,,2302.0751445086707,2257.0264436049647,,1498.82,2098.0515463917527,2466.2302158273383,,2093.1666666666665,2376.8634085213034
2019-04-17,1734.4539682539682,,2414.431906614786,,,2355.3860759493673,2290.6360544217687,,1482.1592920353983,2257.296296296296,2358.425287356322,,2192.980281690141,2453.439024390244
2019-04-18,1832.1871657754011,2290.25,2549.556,,,2443.3793103448274,2299.944684528954,,1310.3076923076924,2204.672955974843,2416.6708860759495,,2116.6625766871166,2405.2119205298013
2019-04-19,1819.647355163728,,2512.3025477707006,,,2346.3941018766754,2264.3769871309614,,1558.9354838709678,2153.7518248175184,2476.1157894736843,,2074.4809384164223,2399.8486562942007
2019-04-20,1790.634980988593,,2511.025462962963,2259.0,,2355.597744360902,2307.5566886622673,,1520.4,2178.3560606060605,2669.8189655172414,,2162.390887290168,2438.4750623441396
2019-04-21,1813.1879049676027,,2553.2576687116566,,1921.2307692307693,2386.227906976744,2271.966707021792,,1582.1875,2218.08,2324.4094488188975,,2156.8121546961324,2426.7014725568943
2019-04-22,1883.6925566343043,2217.3333333333335,2370.923076923077,,,2401.366336633663,2318.5084175084176,,1384.85,2179.105,2374.4622641509436,,2198.0467532467533,2472.14859437751
2019-04-23,1811.824480369515,2309.0,2577.376595744681,,,2401.8267148014443,2304.6774367259018,,1582.90099009901,2271.3253012048194,2432.8205128205127,,2083.993288590604,2428.643537414966
2019-04-24,1834.7351485148515,,2545.5606407322653,,,2307.70802919708,2295.515593895156,,1800.7380952380952,2176.3932346723045,2536.190476190476,,2141.734328358209,2408.6268011527377
2019-04-25,1773.4071856287426,,2461.258426966292,2207.5,,2303.2272727272725,2314.5734966592427,,1579.0,2207.816,2727.1007751937987,,2125.8634146341465,2431.878787878788
2019-04-26,1850.5011441647598,2277.0,2612.5151515151515,,1812.6666666666667,2395.721153846154,2282.2868998221697,,1478.125,2226.6553672316386,2236.2625,,2080.4409448818897,2476.725490196078
2019-04-27,1876.309381237525,,2486.341736694678,,,2378.408396946565,2271.2546075085324,,1697.34,2173.5258620689656,2331.892307692308,,2160.973871733967,2461.5172413793102
2019-04-28,1797.8659793814434,,2490.4483516483515,2387.0,,2366.876712328767,2276.8263565891475,,1290.5254237288136,2152.419254658385,2250.318181818182,,2133.6068601583115,2433.5251141552512
2019-04-29,1902.0972762645915,,2494.765625,,,2328.6162790697676,2280.589774078478,,1526.3333333333333,2220.1810089020773,2703.4285714285716,,2175.8351063829787,2403.644032921811
