,launch_angle,launch_speed,estimated_ba_using_speedangle,events
397,41,91.3,0.013,sac_fly
499,-12,92.5,0.18,fielders_choice_out
436,1,93.5,0.38,single
16,69,80.0,0.0,field_out
434,39,99.7,0.2,field_out
483,28,92.7,0.2,field_out
551,38,83.7,0.04,field_out
38,41,101.4,0.16,field_out
64,10,103.3,0.82,double
79,-28,76.7,0.053,field_out
88,57,88.3,0.013,field_out
527,15,101.4,0.64,field_out
26,16,89.4,0.833,single
29,-3,91.4,0.307,field_out
93,37,104.9,0.587,field_out
143,69,80.0,0.0,field_out
52,36,101.5,0.493,double
73,60,70.2,0.033,field_out
179,14,62.7,0.293,field_out
99,48,84.1,0.027,field_out
107,-18,75.6,0.02,field_out
108,-1,100.0,0.38,field_out
206,-1,105.5,0.413,single
272,32,93.1,0.16,field_out
291,58,85.0,0.027,field_out
137,-51,52.0,0.173,field_error
177,28,104.8,0.967,home_run
346,-14,90.1,0.127,field_out
412,69,80.0,0.0,field_out
420,46,95.5,0.007,field_out
465,-24,71.2,0.047,single
474,-2,108.5,0.5,single
197,57,72.8,0.047,field_out
235,-16,74.0,0.053,single
513,26,106.6,0.98,home_run
533,4,79.7,0.253,field_out
193,45,91.4,0.0,field_out
132,1,93.1,0.38,field_out
151,62,97.1,0.013,field_out
294,50,92.4,0.02,field_out
178,7,100.3,0.6,single
196,16,103.0,0.573,double
8,21,81.9,0.64,single
16,15,84.5,0.953,single
17,11,110.2,0.9,single
281,35,88.6,0.047,field_out
291,-21,82.9,0.073,field_out
223,29,101.9,0.813,home_run
34,-21,82.9,0.073,field_out
245,58,61.7,0.0,field_out
267,8,107.6,0.727,double
300,11,110.1,0.9,double
228,42,86.9,0.02,field_out
260,14,80.8,0.84,single
292,-9,98.0,0.213,field_out
37,39,88.2,0.02,field_out
50,-8,72.0,0.1,single
62,14,89.9,0.967,single
63,25,93.6,0.227,field_out
66,26,70.5,0.947,single
80,13,113.9,0.8,single
91,27,95.6,0.26,field_out
67,-11,103.2,0.307,field_out
72,14,105.5,0.713,double
95,29,78.2,0.153,double
111,-17,105.5,0.267,single
134,4,76.5,0.187,single
133,5,102.9,0.607,field_out
170,-28,73.1,0.047,field_out
159,69,80.0,0.0,field_out
177,87,70.6,0.0,field_out
181,-10,69.4,0.06,fielders_choice_out
202,14,99.3,0.813,double
269,21,84.1,0.547,field_out
298,-9,111.7,0.407,field_out
277,-21,82.9,0.073,field_out
201,27,102.6,0.94,home_run
311,18,99.0,0.38,single
194,39,89.2,0.013,field_out
206,-21,82.9,0.073,field_out
209,35,70.9,0.567,field_out
283,-5,65.1,0.06,field_out
267,-21,82.9,0.073,field_out
281,69,80.0,0.0,field_out
309,-2,103.5,0.387,field_out
133,39,89.2,0.013,field_out
233,-18,83.5,0.087,field_out
204,14,103.7,0.74,field_out
341,-17,97.5,0.167,field_out
326,25,92.3,0.133,field_out
115,-15,78.0,0.047,field_out
122,77,85.1,0.0,field_out
5,37,98.6,0.2,field_out
173,39,89.2,0.013,field_out
230,27,103.8,0.933,field_out
278,10,85.2,0.473,field_out
10,9,95.7,0.587,single
17,30,80.9,0.087,field_out
21,9,78.3,0.32,single
24,29,98.0,0.44,field_out
26,14,99.2,0.813,single
244,-24,91.3,0.16,single
352,27,106.3,0.98,home_run
28,27,87.6,0.073,field_out
37,10,96.5,0.767,single
40,38,95.7,0.167,field_out
42,32,78.6,0.053,field_out
131,14,104.7,0.713,field_out
234,21,96.5,0.3,field_out
55,28,87.5,0.087,field_out
66,24,110.9,1.0,home_run
287,45,59.6,0.153,field_out
317,16,100.1,0.54,field_out
59,12,104.0,0.873,single
67,27,69.4,0.94,single
82,42,95.4,0.067,field_out
94,47,91.8,0.0,field_out
106,0,106.1,0.44,double
119,21,92.3,0.267,field_out
156,21,106.7,0.907,single
105,39,89.2,0.013,field_out
171,12,89.6,0.833,field_out
232,-23,99.1,0.22,grounded_into_double_play
235,20,99.6,0.42,field_out
328,8,111.1,0.767,field_out
439,69,80.0,0.0,field_out
458,45,95.9,0.013,field_out
492,-8,80.3,0.1,field_out
465,35,97.5,0.287,field_out
273,51,87.3,0.0,field_out
280,15,101.0,0.64,double
374,10,98.3,0.827,single
397,16,101.8,0.567,field_out
474,64,94.2,0.013,field_out
2,-1,102.7,0.4,double
17,33,76.6,0.087,single
24,24,101.8,0.833,single
0,-11,82.5,0.12,grounded_into_double_play
11,14,108.1,0.7,single
47,39,101.9,0.327,field_out
50,-21,82.9,0.073,field_out
16,-21,82.9,0.073,field_out
48,65,82.6,0.007,field_out
85,16,94.1,0.753,single
77,54,86.6,0.007,field_out
98,-21,82.9,0.073,field_out
104,-14,97.9,0.2,single
114,33,97.3,0.267,field_out
83,69,80.0,0.0,field_out
125,-2,101.3,0.373,field_out
171,-7,99.3,0.24,field_out
169,-21,82.9,0.073,field_out
197,-19,77.4,0.013,field_out
202,6,94.3,0.54,field_out
229,39,106.2,0.56,home_run
221,-10,51.1,0.12,field_out
244,0,65.2,0.067,field_out
253,6,101.7,0.587,field_out
275,-2,91.4,0.307,field_out
384,11,103.3,0.913,single
445,50,78.1,0.02,field_out
486,2,72.8,0.173,field_out
353,29,96.1,0.28,field_out
411,-11,56.7,0.087,field_out
487,-54,55.7,0.173,field_out
300,-33,67.8,0.067,field_out
336,13,104.1,0.847,single
453,50,76.9,0.053,field_out
512,26,102.0,0.867,home_run
301,-24,90.7,0.16,force_out
365,-36,86.7,0.053,field_out
378,-9,72.6,0.087,grounded_into_double_play
388,-27,82.8,0.053,single
425,2,91.9,0.333,single
493,24,103.9,0.887,field_out
270,32,71.0,0.673,single
320,10,107.1,0.913,single
338,9,92.3,0.627,single
361,1,101.6,0.44,single
434,-4,82.8,0.16,field_out
96,69,80.0,0.0,field_out
113,-63,65.8,0.3,field_out
46,21,110.7,0.987,home_run
92,38,94.5,0.113,home_run
97,32,86.6,0.047,field_out
124,39,93.1,0.04,field_out
132,14,110.1,0.727,double_play
111,32,91.6,0.113,field_out
120,30,89.7,0.093,field_out
133,10,105.7,0.853,single
151,16,92.9,0.747,single
198,20,95.7,0.253,field_out
186,51,104.5,0.04,field_out
214,15,105.2,0.607,double
238,-3,103.9,0.353,single
240,-6,69.6,0.113,grounded_into_double_play
260,11,106.6,0.927,single
265,-1,90.5,0.287,field_out
242,1,73.8,0.127,field_out
249,12,89.0,0.813,field_out
252,80,77.7,0.007,field_out
284,2,88.0,0.36,field_out
344,-11,100.0,0.273,field_out
262,8,78.2,0.307,double_play
302,-13,107.1,0.227,single
326,26,80.5,0.193,field_out
375,69,80.0,0.0,field_out
403,-4,102.0,0.307,field_out
447,-7,101.5,0.34,field_out
428,32,102.7,0.773,field_out
436,52,93.1,0.007,field_out
202,-3,67.6,0.12,field_out
187,-2,96.5,0.367,single
228,3,81.8,0.293,field_out
243,-14,77.4,0.067,field_out
0,17,91.9,0.673,single
9,36,86.5,0.007,field_out
11,9,88.4,0.52,field_out
183,-15,72.7,0.047,field_out
24,0,65.2,0.067,field_out
36,49,88.6,0.007,field_out
44,52,81.5,0.04,field_out
167,27,93.2,0.193,field_out
273,15,81.1,0.927,single
198,17,99.7,0.5,triple
255,8,83.0,0.413,field_out
51,22,92.2,0.207,field_out
56,-4,66.8,0.1,field_out
5,-19,90.7,0.14,force_out
20,17,98.8,0.54,double
23,-22,91.7,0.107,field_out
89,42,77.6,0.027,field_out
99,-26,92.0,0.087,field_out
38,-7,98.4,0.28,field_out
53,65,74.5,0.0,field_out
61,8,84.0,0.407,single
73,4,83.4,0.32,single
111,69,80.0,0.0,field_out
116,29,80.7,0.08,field_out
131,41,78.4,0.033,field_out
87,-11,92.8,0.167,single
102,-3,92.3,0.293,field_out
108,-21,82.9,0.073,field_out
145,39,88.3,0.02,field_out
115,29,101.4,0.74,field_out
129,57,89.3,0.013,field_out
154,-35,41.6,0.3,field_out
155,38,85.9,0.02,field_out
162,36,105.8,0.66,field_out
143,-24,68.3,0.073,field_out
152,21,102.0,0.593,double
166,-23,92.5,0.127,field_out
173,20,104.2,0.693,double
169,59,93.5,0.007,field_out
216,-6,91.8,0.227,field_out
209,11,99.8,0.9,single
185,39,89.2,0.013,field_out
222,44,89.8,0.0,field_out
216,25,93.8,0.227,field_out
131,39,89.2,0.013,field_out
150,26,103.6,0.913,home_run
178,21,106.8,0.907,home_run
0,4,90.4,0.427,field_out
173,39,70.6,0.347,single
12,-29,85.8,0.04,grounded_into_double_play
16,48,87.5,0.007,field_out
165,16,85.4,0.953,field_out
30,-17,95.8,0.187,field_out
35,24,95.3,0.26,field_out
233,55,84.3,0.02,field_out
184,-21,90.9,0.093,field_out
235,69,80.0,0.0,field_out
41,-21,82.9,0.073,field_out
44,-29,85.1,0.047,field_out
112,37,101.4,0.327,field_out
119,36,77.6,0.067,field_out
47,-17,72.7,0.047,field_out
61,-5,100.4,0.287,single
160,34,86.6,0.04,field_out
67,-10,105.1,0.347,field_out
69,69,80.0,0.0,field_out
66,29,89.0,0.093,field_out
70,39,89.2,0.013,field_out
75,-49,62.4,0.133,field_out
73,38,61.2,0.407,field_out
96,69,80.0,0.0,field_out
107,-2,103.4,0.387,field_out
113,27,98.0,0.487,home_run
126,-5,94.6,0.267,single
134,-41,90.8,0.047,field_out
155,16,104.6,0.567,double
168,15,104.3,0.693,single
191,17,80.7,0.967,single
217,11,94.0,0.853,single
117,21,89.1,0.187,field_out
450,27,85.3,0.073,single
517,38,99.8,0.253,field_out
552,-19,96.2,0.18,field_out
437,29,87.9,0.087,field_out
358,55,92.8,0.0,field_out
374,29,90.3,0.087,double
433,69,80.0,0.0,field_out
601,50,77.8,0.02,field_out
384,-15,66.4,0.087,field_out
456,-7,87.8,0.193,field_out
642,79,82.9,0.0,field_out
