,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
52,barraclough,kyle,607457,1848.6191,1883.2313,34.612225,0.012770987,0.015548086,0.002777099,0.014159536,1865.9253
53,barreda,manny,518435,2302.2146,2339.119,36.90432,0.010899572,0.013276092,0.0023765196,0.012087832,2320.6667
54,barria,jaime,642545,2434.2065,2479.141,44.93438,0.012564851,0.015055792,0.0024909412,0.013810322,2456.6738
55,bass,anthony,542914,1939.889,2007.4629,67.573814,0.01618809,0.01980243,0.00361434,0.01799526,1973.676
56,bassitt,chris,605135,1949.5912,2003.7515,54.160324,0.021768766,0.027947063,0.0061782957,0.024857914,1976.6714
57,baumann,mike,657508,1873.5541,1899.5603,26.006155,0.06654081,0.10167786,0.03513705,0.08410933,1886.5573
58,baz,shane,669358,1916.1354,1976.4738,60.33844,0.025555464,0.053298794,0.027743328,0.039427128,1946.3046
59,bednar,david,670280,1904.1973,1940.9563,36.758987,0.013315792,0.016190972,0.0028751798,0.014753383,1922.5768
60,bedrosian,cam,592135,2495.7668,2532.0544,36.287567,0.057932574,0.09329138,0.035358805,0.07561198,2513.9106
61,bellatti,andrew,571479,2190.7834,2231.9976,41.214012,0.08358839,0.12760049,0.044012103,0.10559444,2211.3906
62,bender,anthony,669622,2177.9688,2229.538,51.569225,0.046426613,0.07093178,0.024505166,0.058679197,2203.7534
63,benjamin,wes,605138,2568.183,2586.5757,18.392607,0.018266115,0.03203509,0.013768974,0.025150603,2577.3794
64,berrios,jose,621244,2018.865,2059.7512,40.886196,0.012469203,0.015041903,0.0025726997,0.013755553,2039.308
65,bickford,phil,641360,1943.5312,2007.1749,63.643646,0.058295853,0.09884287,0.040547013,0.07856936,1975.3531
66,bieber,shane,669456,2404.3647,2484.511,80.1462,0.06652785,0.10416453,0.037636682,0.08534619,2444.438
67,bielak,brandon,656232,2168.8652,2245.429,76.56389,0.016032083,0.01900586,0.0029737765,0.017518971,2207.1472
68,blackburn,paul,621112,1994.6891,2012.9335,18.244354,0.019145507,0.02272163,0.003576122,0.020933568,2003.8113
69,bleier,richard,542947,2332.546,2367.2222,34.676384,0.011357691,0.0138052115,0.0024475197,0.012581452,2349.884
70,blewett,scott,656240,1935.2084,1964.7175,29.509161,0.01444706,0.01801968,0.00357262,0.01623337,1949.963
71,borucki,ryan,621366,2143.0254,2167.2124,24.186947,0.027884778,0.038532253,0.010647476,0.033208515,2155.119
72,bostick,akeem,641384,2140.7117,2167.7385,27.026857,0.014875652,0.01798485,0.0031091974,0.016430251,2154.225
73,bowden,ben,641386,2105.3237,2154.6553,49.331615,0.023621479,0.031311776,0.0076902974,0.027466627,2129.9895
74,boxberger,brad,502202,1678.6918,1758.058,79.36622,0.059334695,0.096509784,0.03717509,0.07792224,1718.3749
75,boyd,matt,571510,2192.8828,2252.258,59.375298,0.009742165,0.011865258,0.002123093,0.010803712,2222.5706
76,brach,brad,542960,2271.919,2290.538,18.619179,0.011938655,0.014770719,0.0028320644,0.013354687,2281.2285
77,bradley,archie,605151,2558.1523,2620.404,62.251595,0.067310974,0.111949205,0.044638228,0.08963009,2589.2783
78,brasier,ryan,518489,1921.5465,1955.1344,33.587852,0.005850928,0.007435857,0.0015849288,0.0066433926,1938.3405
79,brault,steven,643230,2117.571,2134.9395,17.368544,0.010798965,0.013034517,0.0022355523,0.011916741,2126.2554
80,brebbia,john,605154,2201.0571,2262.6096,61.552425,0.013600443,0.016217351,0.0026169084,0.014908897,2231.8333
81,brentz,jake,641394,2187.9478,2215.9607,28.012974,0.014561074,0.01739278,0.0028317075,0.015976928,2201.9543
82,britton,zack,502154,2081.925,2137.0742,55.149254,0.057245597,0.089147836,0.03190224,0.07319672,2109.4995
83,brogdon,connor,641401,2319.0596,2333.5366,14.476915,0.013778918,0.016491035,0.0027121159,0.015134976,2326.298
84,brothers,rex,571521,2351.8975,2361.817,9.919392,0.0047203563,0.0059950454,0.0012746891,0.005357701,2356.8572
85,brubaker,jt,664141,2345.4658,2398.0261,52.560417,0.014138857,0.016933931,0.0027950746,0.015536394,2371.7458
86,bruihl,justin,677865,2200.1846,2252.9978,52.81311,0.07798639,0.12709458,0.049108196,0.102540486,2226.591
87,bubic,kris,663460,2132.536,2153.8591,21.323212,0.01196343,0.014434855,0.0024714258,0.013199142,2143.1975
88,buchter,ryan,488748,2218.504,2260.5518,42.04792,0.055046763,0.08146257,0.026415804,0.068254665,2239.5278
89,buehler,walker,621111,2388.9758,2420.6982,31.722301,0.013166024,0.015550186,0.0023841613,0.014358105,2404.837
90,bukauskas,j. b.,656266,1883.5599,1920.9006,37.340588,0.0128807435,0.015909217,0.0030284743,0.014394981,1902.2303
91,bumgarner,madison,518516,2158.2112,2197.7627,39.55156,0.057283413,0.09994169,0.042658277,0.07861255,2177.987
92,bummer,aaron,607481,2043.1277,2105.2253,62.09769,0.015279165,0.01796775,0.002688585,0.016623456,2074.1765
93,bundy,dylan,605164,2828.6096,2886.6404,58.030724,0.019334769,0.023075107,0.0037403386,0.02120494,2857.625
94,burdi,zack,641420,2379.3022,2407.7314,28.429169,0.0153943105,0.018242672,0.002848361,0.016818492,2393.5168
95,burnes,corbin,669203,2773.8289,2827.216,53.387127,0.011682675,0.013932489,0.0022498139,0.0128075825,2800.5225
96,burr,ryan,621114,2205.1697,2234.0872,28.917492,0.093456455,0.14540285,0.051946394,0.11942965,2219.6284
97,burrows,beau,663366,2261.8604,2282.11,20.249619,0.0120182,0.014374488,0.0023562873,0.0131963445,2271.9854
